Date,Open,High,Low,Close,Adj Close,Volume
2016-07-27,26.06749916,26.08749962,25.6875,25.73749924,23.83429909,369379200
2016-07-28,25.70750046,26.11249924,25.70499992,26.08499908,24.15610313,159479200
2016-07-29,26.04750061,26.13750076,25.92000008,26.05249977,24.12601089,110934800
2016-08-01,26.10250092,26.53750038,26.10250092,26.51250076,24.5519886,152671600
2016-08-02,26.51250076,26.51749992,26,26.12000084,24.18851471,135266400
2016-08-03,26.20249939,26.45999908,26.19249916,26.44750023,24.4917984,120810400
2016-08-04,26.39500046,26.5,26.31999969,26.46750069,24.64309311,109634800
2016-08-05,26.56749916,26.91250038,26.54500008,26.87000084,25.01785278,162213600
2016-08-08,26.87999916,27.09250069,26.79000092,27.09250069,25.22501755,112148800
2016-08-09,27.05750084,27.23500061,27.00250053,27.20249939,25.32743263,105260800
2016-08-10,27.17749977,27.22500038,26.94000053,27,25.13889313,96034000
2016-08-11,27.12999916,27.23250008,26.96249962,26.98250008,25.12259483,109938000
2016-08-12,26.94499969,27.11000061,26.94499969,27.04500008,25.18079185,74641600
2016-08-15,27.03499985,27.38500023,27.02000046,27.37000084,25.48339081,103472800
2016-08-16,27.40749931,27.55750084,27.30249977,27.34499931,25.46011353,135177600
2016-08-17,27.27499962,27.34250069,27.08499908,27.30500031,25.42286491,101424000
2016-08-18,27.30750084,27.39999962,27.25499916,27.27000046,25.39028358,87938800
2016-08-19,27.19249916,27.42250061,27.09000015,27.34000015,25.45545197,101472400
2016-08-22,27.21500015,27.27499962,26.96249962,27.12750053,25.25759888,103280800
2016-08-23,27.14749908,27.32999992,27.13249969,27.21249962,25.33674431,85030800
2016-08-24,27.14249992,27.1875,26.92000008,27.00749969,25.14587975,94700400
2016-08-25,26.84749985,26.96999931,26.67000008,26.89249992,25.03880119,100344800
2016-08-26,26.85250092,26.98749924,26.57749939,26.73500061,24.8921566,111065200
2016-08-29,26.65500069,26.86000061,26.57250023,26.70499992,24.86422539,99881200
2016-08-30,26.45000076,26.625,26.375,26.5,24.67335892,99455600
2016-08-31,26.41500092,26.64249992,26.40999985,26.52499962,24.69664001,118649600
2016-09-01,26.53499985,26.70000076,26.40500069,26.68250084,24.84327316,106806000
2016-09-02,26.92499924,27,26.70499992,26.93250084,25.07604408,107210000
2016-09-06,26.97500038,27.07500076,26.87750053,26.92499924,25.06905746,107521600
2016-09-07,26.95750046,27.19000053,26.76749992,27.09000015,25.22268677,169457200
2016-09-08,26.8125,26.81749916,26.30999947,26.37999916,24.56162643,212008000
2016-09-09,26.15999985,26.43000031,25.78249931,25.78249931,24.00531197,186228000
2016-09-12,25.66250038,26.43000031,25.63249969,26.36000061,24.54300308,181171200
2016-09-13,26.87750053,27.19750023,26.80999947,26.98749924,25.12725449,248704800
2016-09-14,27.18250084,28.25749969,27.14999962,27.94249916,26.01642418,443554800
2016-09-15,28.46500015,28.93250084,28.37249947,28.89249992,26.90094376,359934400
2016-09-16,28.78000069,29.03249931,28.51000023,28.72999954,26.74964142,319547600
2016-09-19,28.79750061,29.04500008,28.3125,28.39500046,26.43773651,188092000
2016-09-20,28.26250076,28.53000069,28.12750053,28.39249992,26.43540001,138057200
2016-09-21,28.46249962,28.49749947,28.11000061,28.38750076,26.4307518,144012800
2016-09-22,28.58749962,28.73500061,28.5,28.65500069,26.67981339,124296000
2016-09-23,28.60499954,28.69750023,27.88750076,28.17749977,26.23522758,209924800
2016-09-26,27.90999985,28.34749985,27.88750076,28.21999931,26.27479553,119477600
2016-09-27,28.25,28.29500008,28.08499908,28.27249908,26.32367325,98429600
2016-09-28,28.42250061,28.65999985,28.35750008,28.48749924,26.52385139,118564400
2016-09-29,28.29000092,28.45000076,27.95000076,28.04500008,26.11185837,143548000
2016-09-30,28.11499977,28.34250069,27.95000076,28.26250076,26.31436729,145516400
2016-10-03,28.17749977,28.26250076,28.06999969,28.12999916,26.19100189,86807200
2016-10-04,28.26499939,28.57749939,28.15749931,28.25,26.30272865,118947200
2016-10-05,28.35000038,28.41500092,28.17250061,28.26250076,26.31436729,85812400
2016-10-06,28.42499924,28.58499908,28.28249931,28.47249985,26.50989723,115117200
2016-10-07,28.57749939,28.63999939,28.37750053,28.51499939,26.54945946,97433600
2016-10-10,28.75499916,29.1875,28.68000031,29.01250076,27.01267052,144944000
2016-10-11,29.42499924,29.67250061,29.04999924,29.07500076,27.07085991,256164000
2016-10-12,29.33749962,29.49500084,29.1875,29.33499908,27.31293678,150347200
2016-10-13,29.19750023,29.36000061,28.93000031,29.24500084,27.22914696,140769600
2016-10-14,29.46999931,29.54249954,29.28249931,29.40749931,27.38044167,142608800
2016-10-17,29.33250046,29.45999908,29.19499969,29.38750076,27.36182213,94499600
2016-10-18,29.54500008,29.55249977,29.36249924,29.36750031,27.34319878,98214000
2016-10-19,29.3125,29.44000053,28.45000076,29.28000069,27.26172829,80138400
2016-10-20,29.21500015,29.34499931,29.08250046,29.26499939,27.24776459,96503200
2016-10-21,29.20249939,29.22750092,29.06999969,29.14999962,27.14068794,92770800
2016-10-24,29.27499962,29.43499947,29.25,29.41250038,27.3850975,94154800
2016-10-25,29.48749924,29.59000015,29.32749939,29.5625,27.52475548,192516000
2016-10-26,28.57749939,28.92499924,28.32749939,28.89749908,26.90559196,264536800
2016-10-27,28.84749985,28.96500015,28.52499962,28.62000084,26.64722824,138248000
2016-10-28,28.46750069,28.80249977,28.36249924,28.43000031,26.47031975,151446800
2016-10-31,28.41250038,28.55750084,28.29999924,28.38500023,26.42842293,105677600
2016-11-01,28.36499977,28.44249916,27.63249969,27.87249947,25.95124817,175303200
2016-11-02,27.85000038,28.08749962,27.80750084,27.89749908,25.97452736,113326800
2016-11-03,27.74500084,27.86499977,27.38750076,27.45750046,25.69610977,107730400
2016-11-04,27.13249969,27.5625,27.02750015,27.20999908,25.46448517,123348000
2016-11-07,27.52000046,27.62750053,27.36499977,27.60250092,25.83181,130240000
2016-11-08,27.57749939,27.93000031,27.42499924,27.76499939,25.98388481,97016800
2016-11-09,27.46999931,27.82999992,27.01250076,27.71999931,25.94177628,236705600
2016-11-10,27.77249908,27.77249908,26.45750046,26.94750023,25.21882629,228538000
2016-11-11,26.78000069,27.21750069,26.63750076,27.10750008,25.36856651,136575600
2016-11-14,26.92749977,26.95249939,26.02000046,26.42749977,24.73218536,204702000
2016-11-15,26.64249992,26.92000008,26.54000092,26.77750015,25.05973244,129058000
2016-11-16,26.67499924,27.55750084,26.64999962,27.49749947,25.73354149,235362000
2016-11-17,27.45249939,27.58749962,27.20750046,27.48749924,25.72418594,110528000
2016-11-18,27.43000031,27.63500023,27.41500092,27.51499939,25.74992371,113715600
2016-11-21,27.53000069,27.99749947,27.50250053,27.93250084,26.14064026,117058400
2016-11-22,27.98749924,28.10499954,27.85000038,27.95000076,26.15701866,103862000
2016-11-23,27.84000015,27.87750053,27.58250046,27.80750084,26.02365685,109705600
2016-11-25,27.78249931,27.96750069,27.73749924,27.94750023,26.15467644,45903600
2016-11-28,27.85750008,28.11750031,27.84749985,27.89249992,26.10320473,108776000
2016-11-29,27.69499969,28.00749969,27.51749992,27.86499977,26.07747078,114115200
2016-11-30,27.89999962,28.04999924,27.56749916,27.62999916,25.85754585,144649200
2016-12-01,27.59250069,27.73500061,27.25749969,27.37249947,25.6165657,148347600
2016-12-02,27.29249954,27.52249908,27.21249962,27.47500038,25.71248627,106112000
2016-12-05,27.5,27.50749969,27.0625,27.27750015,25.52765846,137298000
2016-12-06,27.375,27.59000015,27.29750061,27.48749924,25.72418594,104782000
2016-12-07,27.31500053,27.79750061,27.29000092,27.75749969,25.97686386,119994800
2016-12-08,27.71500015,28.10750008,27.64999962,28.03000069,26.231884,108273200
2016-12-09,28.07749939,28.67499924,28.07749939,28.48749924,26.66003609,137610400
2016-12-12,28.32250023,28.75,28.12249947,28.32500076,26.507967,105497600
2016-12-13,28.45999908,28.97999954,28.4375,28.79750061,26.95014954,174935200
2016-12-14,28.76000023,29.04999924,28.74500084,28.79750061,26.95014954,136127200
2016-12-15,28.84499931,29.18250084,28.80750084,28.95499992,27.09754562,186098000
2016-12-16,29.11750031,29.125,28.91250038,28.99250031,27.13263893,177404400
2016-12-19,28.95000076,29.34499931,28.9375,29.15999985,27.28939438,111117600
2016-12-20,29.18499947,29.375,29.17000008,29.23749924,27.3619194,85700000
2016-12-21,29.20000076,29.35000038,29.19499969,29.26499939,27.38765907,95132800
2016-12-22,29.08749962,29.12750053,28.90999985,29.07250023,27.20750809,104343600
2016-12-23,28.89749908,29.12999916,28.89749908,29.12999916,27.26132011,56998000
2016-12-27,29.12999916,29.45000076,29.12249947,29.31500053,27.43445396,73187600
2016-12-28,29.37999916,29.50499916,29.04999924,29.19000053,27.31747437,83623600
2016-12-29,29.11249924,29.27750015,29.10000038,29.18250084,27.3104496,60158000
2016-12-30,29.16250038,29.29999924,28.85750008,28.95499992,27.09754562,122345200
2017-01-03,28.95000076,29.08250046,28.69000053,29.03750038,27.174757,115127600
2017-01-04,28.96249962,29.12750053,28.9375,29.00499916,27.14433861,84472400
2017-01-05,28.97999954,29.21500015,28.95249939,29.15250015,27.28237343,88774400
2017-01-06,29.19499969,29.54000092,29.11750031,29.47750092,27.58652878,127007600
2017-01-09,29.48749924,29.85750008,29.48500061,29.74749947,27.8392086,134247600
2017-01-10,29.69249916,29.84499931,29.57500076,29.77750015,27.86728668,97848400
2017-01-11,29.68499947,29.98250008,29.64999962,29.9375,28.01701736,110354400
2017-01-12,29.72500038,29.82500076,29.55249977,29.8125,27.90003967,108344800
2017-01-13,29.77750015,29.90500069,29.70249939,29.76000023,27.85090828,104447600
2017-01-17,29.58499908,30.05999947,29.55500031,30,28.07551193,137759200
2017-01-18,30,30.125,29.92749977,29.99749947,28.07316971,94852000
2017-01-19,29.85000038,30.02249908,29.84250069,29.94499969,28.02403831,102389200
2017-01-20,30.11249924,30.11249924,29.93250084,30,28.07551193,130391600
2017-01-23,30,30.20249939,29.94249916,30.02000046,28.09422874,88200800
2017-01-24,29.88750076,30.02499962,29.875,29.99250031,28.0684967,92844000
2017-01-25,30.10499954,30.52499962,30.06999969,30.46999931,28.51535988,129510400
2017-01-26,30.41749954,30.61000061,30.39999962,30.48500061,28.52939606,105350400
2017-01-27,30.53499985,30.58749962,30.39999962,30.48749924,28.53173256,82251600
2017-01-30,30.23250008,30.40749931,30.16500092,30.40749931,28.45687103,121510000
2017-01-31,30.28750038,30.34749985,30.15500069,30.33749962,28.39135933,196804000
2017-02-01,31.75749969,32.62250137,31.75250053,32.1875,30.12268066,447940000
2017-02-02,31.99500084,32.34749985,31.94499969,32.13249969,30.07121277,134841600
2017-02-03,32.07749939,32.29750061,32.04000092,32.27000046,30.19989586,98029200
2017-02-06,32.28250122,32.625,32.22499847,32.57249832,30.48298264,107383600
2017-02-07,32.63499832,33.02249908,32.61249924,32.88249969,30.77309799,152735200
2017-02-08,32.83750153,33.05500031,32.80500031,33.00999832,30.892416,92016400
2017-02-09,32.91249847,33.11249924,32.77999878,33.10499954,31.11563683,113399600
2017-02-10,33.11500168,33.23500061,33.01250076,33.02999878,31.04515648,80262000
2017-02-13,33.27000046,33.45500183,33.1875,33.32249832,31.32007408,92141600
2017-02-14,33.36750031,33.77249908,33.3125,33.75500107,31.72658539,132904800
2017-02-15,33.88000107,34.06750107,33.65499878,33.87749863,31.8417244,142492400
2017-02-16,33.91749954,33.97499847,33.70999908,33.83750153,31.80413246,90338400
2017-02-17,33.77500153,33.95750046,33.77500153,33.93000031,31.89106941,88792800
2017-02-21,34.05749893,34.1875,33.99499893,34.17499924,32.12135696,98028800
2017-02-22,34.10749817,34.27999878,34.02750015,34.27750015,32.21769714,83347600
2017-02-23,34.34500122,34.36999893,34.07500076,34.13249969,32.08140182,83152800
2017-02-24,33.97750092,34.16500092,33.81999969,34.16500092,32.11194992,87106400
2017-02-27,34.28499985,34.36000061,34.06999969,34.23249817,32.17538834,81029600
2017-02-28,34.27000046,34.36000061,34.17499924,34.24750137,32.1894989,93931600
